Link,Checked
https://chess-results.com/tnr24964.aspx?lan=1,False
https://chess-results.com/tnr24970.aspx?lan=1,False
https://chess-results.com/tnr24969.aspx?lan=1,False
https://chess-results.com/tnr24968.aspx?lan=1,False
https://chess-results.com/tnr24967.aspx?lan=1,False
https://chess-results.com/tnr24966.aspx?lan=1,False
https://chess-results.com/tnr24961.aspx?lan=1,False
https://chess-results.com/tnr24965.aspx?lan=1,False
https://chess-results.com/tnr23805.aspx?lan=1,False
https://chess-results.com/tnr23806.aspx?lan=1,False
https://chess-results.com/tnr23764.aspx?lan=1,False
https://chess-results.com/tnr23762.aspx?lan=1,False
https://chess-results.com/tnr23763.aspx?lan=1,False
https://chess-results.com/tnr23766.aspx?lan=1,False
https://chess-results.com/tnr23545.aspx?lan=1,False
https://chess-results.com/tnr23546.aspx?lan=1,False
https://chess-results.com/tnr23547.aspx?lan=1,False
https://chess-results.com/tnr23548.aspx?lan=1,False
https://chess-results.com/tnr23549.aspx?lan=1,False
https://chess-results.com/tnr23550.aspx?lan=1,False
https://chess-results.com/tnr23544.aspx?lan=1,False
https://chess-results.com/tnr23543.aspx?lan=1,False
https://chess-results.com/tnr23542.aspx?lan=1,False
https://chess-results.com/tnr23541.aspx?lan=1,False
https://chess-results.com/tnr23534.aspx?lan=1,False
https://chess-results.com/tnr23531.aspx?lan=1,False
https://chess-results.com/tnr23533.aspx?lan=1,False
https://chess-results.com/tnr23532.aspx?lan=1,False
https://chess-results.com/tnr23530.aspx?lan=1,False
https://chess-results.com/tnr14688.aspx?lan=1,False
https://chess-results.com/tnr14687.aspx?lan=1,False
https://chess-results.com/tnr14686.aspx?lan=1,False
https://chess-results.com/tnr14685.aspx?lan=1,False
https://chess-results.com/tnr14684.aspx?lan=1,False
https://chess-results.com/tnr14683.aspx?lan=1,False
https://chess-results.com/tnr14682.aspx?lan=1,False
https://chess-results.com/tnr14681.aspx?lan=1,False
https://chess-results.com/tnr14680.aspx?lan=1,False
https://chess-results.com/tnr14689.aspx?lan=1,False
